insert into `livros` values ('978-0-18-072205-3', 'A liberdade de mudar direto da fonte', '2020-10-01', '59', '13');
insert into `livros` values ('978-1-76128-797-8', 'O prazer de evoluir direto da fonte', '1991-07-15', '5', '9');
insert into `livros` values ('978-1-08-415989-1', 'O poder de inovar antes de tudo', '2016-03-27', '50', '10');
insert into `livros` values ('978-0-9872009-5-2', 'O conforto de concretizar seus projetos em estado puro', '2004-03-05', '6', '5');
insert into `livros` values ('978-1-142-59156-4', 'A possibilidade de inovar simplesmente', '2015-12-20', '41', '7');
insert into `livros` values ('978-1-370-06707-7', 'A segurança de ganhar mais facilmente', '2009-07-29', '22', '10');
insert into `livros` values ('978-1-72653-058-3', 'O direito de avançar com força total', '1990-11-30', '19', '12');
insert into `livros` values ('978-0-7810-3479-1', 'A arte de inovar com toda a tranquilidade', '2007-01-06', '5', '11');
insert into `livros` values ('978-1-4502-3666-9', 'A possibilidade de conseguir com toda a tranquilidade', '2013-03-17', '51', '13');
insert into `livros` values ('978-0-622-80149-0', 'A liberdade de conseguir com confiança', '1973-08-25', '53', '20');
insert into `livros` values ('978-0-09-529730-1', 'A vantagem de mudar de maneira eficaz', '2013-03-05', '49', '14');
insert into `livros` values ('978-0-00-510774-4', 'A arte de ganhar em estado puro', '2004-11-14', '69', '20');
insert into `livros` values ('978-0-928810-58-5', 'A possibilidade de concretizar seus projetos direto da fonte', '2004-07-30', '22', '2');
insert into `livros` values ('978-0-00-103184-5', 'A liberdade de conseguir com toda a tranquilidade', '1972-08-03', '32', '15');
insert into `livros` values ('978-0-437-96397-0', 'O poder de atingir seus objetivos com força total', '2018-12-24', '35', '16');
insert into `livros` values ('978-1-5386-7938-8', 'A arte de realizar seus sonhos com confiança', '2022-02-22', '77', '19');
insert into `livros` values ('978-1-07-386394-5', 'A certeza de mudar direto da fonte', '2005-12-20', '59', '9');
insert into `livros` values ('978-0-315-75662-5', 'O conforto de atingir seus objetivos naturalmente', '1976-04-07', '51', '18');
insert into `livros` values ('978-0-01-393507-0', 'O conforto de realizar seus sonhos antes de tudo', '2004-07-26', '42', '3');
insert into `livros` values ('978-0-664-54915-2', 'A certeza de inovar sem preocupação', '2008-03-05', '15', '11');
insert into `livros` values ('978-1-05-412934-3', 'A simplicidade de realizar seus sonhos antes de tudo', '1981-10-25', '65', '2');
insert into `livros` values ('978-0-340-13735-2', 'A segurança de avançar com força total', '2002-01-06', '30', '15');
insert into `livros` values ('978-0-505-83825-4', 'O prazer de inovar em estado puro', '1978-07-17', '66', '14');
insert into `livros` values ('978-1-199-54419-3', 'O poder de inovar de maneira eficaz', '2007-01-27', '63', '14');
insert into `livros` values ('978-0-7842-3508-9', 'A certeza de mudar com confiança', '1978-11-22', '39', '4');
insert into `livros` values ('978-1-9831-6175-9', 'A arte de evoluir em estado puro', '1970-09-24', '66', '12');
insert into `livros` values ('978-1-4701-4684-9', 'O poder de evoluir com confiança', '2010-07-18', '9', '3');
insert into `livros` values ('978-1-397-42429-7', 'O conforto de realizar seus sonhos naturalmente', '1998-08-17', '41', '13');
insert into `livros` values ('978-1-4933-4613-4', 'A segurança de inovar com força total', '1995-11-26', '44', '10');
insert into `livros` values ('978-0-13-614554-7', 'O poder de ganhar com força total', '1994-11-19', '41', '20');
insert into `livros` values ('978-0-218-75031-7', 'A arte de concretizar seus projetos em estado puro', '1976-03-21', '93', '9');
insert into `livros` values ('978-0-329-28206-6', 'A liberdade de avançar mais facilmente', '1987-08-07', '100', '16');
insert into `livros` values ('978-1-55361-063-2', 'O prazer de conseguir mais facilmente', '2017-06-19', '82', '4');
insert into `livros` values ('978-0-921763-67-3', 'A certeza de conseguir mais facilmente', '2019-01-27', '29', '18');
insert into `livros` values ('978-0-18-643916-0', 'O direito de evoluir de maneira eficaz', '2021-02-13', '33', '7');
insert into `livros` values ('978-1-947888-88-3', 'A vantagem de realizar seus sonhos com força total', '1972-06-26', '3', '20');
insert into `livros` values ('978-0-391-33455-7', 'A arte de conseguir em estado puro', '1992-04-25', '56', '5');
insert into `livros` values ('978-0-538-45860-3', 'O conforto de inovar antes de tudo', '1984-07-16', '43', '17');
insert into `livros` values ('978-0-662-92046-5', 'O direito de concretizar seus projetos com confiança', '2007-02-02', '23', '2');
insert into `livros` values ('978-0-370-29973-0', 'O direito de ganhar mais rapidamente', '2000-03-11', '18', '13');
insert into `livros` values ('978-1-9861-9439-6', 'A liberdade de evoluir em estado puro', '1982-07-17', '45', '14');
insert into `livros` values ('978-1-76888-206-0', 'A possibilidade de realizar seus sonhos mais rapidamente', '1983-11-11', '10', '18');
insert into `livros` values ('978-0-335-20820-3', 'O prazer de ganhar de maneira eficaz', '2011-04-30', '84', '4');
insert into `livros` values ('978-1-273-76052-5', 'A certeza de mudar simplesmente', '1998-09-04', '35', '8');
insert into `livros` values ('978-1-9791-3410-1', 'A certeza de concretizar seus projetos com confiança', '1974-06-21', '30', '15');
insert into `livros` values ('978-1-968950-84-2', 'A simplicidade de ganhar de maneira eficaz', '1989-04-24', '47', '4');
insert into `livros` values ('978-0-7570-1235-8', 'O direito de ganhar com toda a tranquilidade', '1989-12-08', '13', '10');
insert into `livros` values ('978-0-11-694775-8', 'A possibilidade de atingir seus objetivos com força total', '1986-04-15', '86', '12');
insert into `livros` values ('978-0-14-713997-9', 'O poder de realizar seus sonhos mais facilmente', '1978-08-14', '61', '3');
insert into `livros` values ('978-0-02-211846-4', 'O direito de ganhar com toda a tranquilidade', '2013-12-04', '38', '19');
insert into `livros` values ('978-1-933018-51-5', 'O prazer de realizar seus sonhos em estado puro', '2006-05-08', '87', '4');
insert into `livros` values ('978-0-9728435-6-0', 'A simplicidade de inovar com toda a tranquilidade', '1997-01-18', '65', '20');
insert into `livros` values ('978-0-508-17758-9', 'A vantagem de ganhar com toda a tranquilidade', '2008-06-18', '22', '14');
insert into `livros` values ('978-1-83875-976-6', 'A possibilidade de concretizar seus projetos mais rapidamente', '2020-11-12', '81', '2');
insert into `livros` values ('978-0-413-16966-2', 'A possibilidade de ganhar mais rapidamente', '1997-03-16', '72', '9');
insert into `livros` values ('978-1-898261-31-5', 'O direito de atingir seus objetivos com confiança', '1984-05-06', '50', '4');
insert into `livros` values ('978-0-9566035-8-6', 'O poder de ganhar com toda a tranquilidade', '1990-12-31', '89', '19');
insert into `livros` values ('978-0-480-11184-7', 'A vantagem de realizar seus sonhos com força total', '1979-06-21', '41', '5');
insert into `livros` values ('978-1-349-99532-5', 'A certeza de concretizar seus projetos mais facilmente', '2008-05-06', '16', '12');
insert into `livros` values ('978-1-972821-61-9', 'A possibilidade de inovar sem preocupação', '1997-04-02', '51', '6');
insert into `livros` values ('978-1-7325509-1-9', 'A liberdade de concretizar seus projetos mais facilmente', '1999-11-06', '22', '6');
insert into `livros` values ('978-1-915128-77-5', 'O direito de evoluir de maneira eficaz', '1979-08-20', '4', '17');
insert into `livros` values ('978-0-340-03392-0', 'A possibilidade de evoluir com toda a tranquilidade', '2002-02-13', '37', '14');
insert into `livros` values ('978-1-67344-441-4', 'A vantagem de atingir seus objetivos antes de tudo', '1977-06-09', '42', '18');
insert into `livros` values ('978-0-486-17983-4', 'A possibilidade de evoluir naturalmente', '1977-01-21', '55', '15');
insert into `livros` values ('978-1-5395-7112-4', 'O prazer de realizar seus sonhos direto da fonte', '1982-10-28', '30', '18');
insert into `livros` values ('978-0-7310-6564-6', 'A certeza de ganhar sem preocupação', '1994-09-01', '63', '19');
insert into `livros` values ('978-0-85260-561-5', 'O prazer de evoluir em estado puro', '1989-08-09', '19', '14');
insert into `livros` values ('978-1-66907-633-9', 'A possibilidade de avançar simplesmente', '1997-06-08', '99', '17');
insert into `livros` values ('978-0-7418-6207-5', 'A arte de mudar direto da fonte', '2013-05-21', '22', '2');
insert into `livros` values ('978-0-347-47047-6', 'A liberdade de realizar seus sonhos com confiança', '1978-06-14', '23', '13');
insert into `livros` values ('978-1-4281-6346-1', 'A certeza de evoluir de maneira eficaz', '2015-11-02', '20', '14');
insert into `livros` values ('978-1-71527-465-8', 'O conforto de atingir seus objetivos de maneira eficaz', '1988-03-15', '10', '15');
insert into `livros` values ('978-0-541-71938-8', 'O poder de mudar mais rapidamente', '1984-12-12', '37', '1');
insert into `livros` values ('978-0-683-70103-6', 'O poder de ganhar antes de tudo', '1971-02-28', '72', '8');
insert into `livros` values ('978-0-348-74181-0', 'A certeza de inovar sem preocupação', '1980-11-17', '53', '11');
insert into `livros` values ('978-0-672-80110-5', 'A possibilidade de concretizar seus projetos em estado puro', '1989-04-21', '28', '6');
insert into `livros` values ('978-1-63342-099-1', 'O poder de atingir seus objetivos simplesmente', '1990-11-03', '89', '3');
insert into `livros` values ('978-0-588-10864-0', 'O poder de inovar sem preocupação', '1976-08-29', '56', '6');
insert into `livros` values ('978-0-217-09319-4', 'O prazer de avançar sem preocupação', '2016-04-13', '54', '1');
insert into `livros` values ('978-0-7320-2074-3', 'A certeza de atingir seus objetivos sem preocupação', '1971-10-30', '62', '9');
insert into `livros` values ('978-0-8302-0270-6', 'O poder de ganhar em estado puro', '1970-02-23', '79', '3');
insert into `livros` values ('978-1-71442-464-1', 'O direito de inovar em estado puro', '2002-12-13', '35', '14');
insert into `livros` values ('978-1-273-41697-2', 'A possibilidade de atingir seus objetivos com confiança', '2001-09-13', '51', '2');
insert into `livros` values ('978-0-215-85360-8', 'A certeza de evoluir em estado puro', '1994-01-19', '76', '8');
insert into `livros` values ('978-1-02-571627-5', 'A possibilidade de avançar antes de tudo', '2001-07-01', '11', '20');
insert into `livros` values ('978-1-941688-77-9', 'A arte de ganhar com força total', '1976-06-03', '14', '2');
insert into `livros` values ('978-1-4640-3183-0', 'O prazer de realizar seus sonhos com toda a tranquilidade', '1988-06-14', '40', '18');
insert into `livros` values ('978-1-64796-294-4', 'O poder de concretizar seus projetos em estado puro', '2018-01-27', '67', '8');
insert into `livros` values ('978-0-217-65232-2', 'O poder de concretizar seus projetos com toda a tranquilidade', '1986-04-02', '46', '16');
insert into `livros` values ('978-1-69418-244-9', 'A arte de atingir seus objetivos simplesmente', '1990-01-02', '98', '18');
insert into `livros` values ('978-0-319-57749-3', 'A arte de concretizar seus projetos direto da fonte', '2012-09-15', '92', '13');
insert into `livros` values ('978-0-319-70951-1', 'O conforto de ganhar direto da fonte', '1986-02-14', '63', '11');
insert into `livros` values ('978-0-08-920106-2', 'A liberdade de ganhar mais rapidamente', '1978-06-16', '75', '18');
insert into `livros` values ('978-0-242-49452-2', 'O prazer de ganhar sem preocupação', '1998-11-26', '99', '11');
insert into `livros` values ('978-1-923051-76-8', 'O conforto de inovar mais rapidamente', '1979-12-26', '46', '1');
insert into `livros` values ('978-1-07-115029-0', 'O poder de concretizar seus projetos sem preocupação', '2009-08-06', '4', '12');
insert into `livros` values ('978-0-7637-2567-9', 'A possibilidade de mudar com força total', '1994-04-01', '79', '9');
insert into `livros` values ('978-0-489-99096-2', 'O direito de inovar simplesmente', '2014-04-07', '46', '2');
insert into `livros` values ('978-1-909634-94-7', 'A possibilidade de avançar em estado puro', '1998-05-06', '91', '1');
insert into `livros` values ('978-0-7461-3389-7', 'A vantagem de realizar seus sonhos com toda a tranquilidade', '2003-08-16', '39', '8');
insert into `livros` values ('978-1-67557-006-7', 'O direito de concretizar seus projetos antes de tudo', '2009-02-12', '96', '13');
insert into `livros` values ('978-1-5333-8071-5', 'O conforto de evoluir direto da fonte', '1986-08-04', '80', '19');
insert into `livros` values ('978-1-69054-965-9', 'O poder de mudar sem preocupação', '1982-01-01', '57', '1');
insert into `livros` values ('978-1-58521-123-4', 'A possibilidade de mudar direto da fonte', '1979-11-02', '66', '13');
insert into `livros` values ('978-0-396-84368-9', 'A simplicidade de mudar mais facilmente', '2018-06-23', '21', '5');
insert into `livros` values ('978-0-418-46788-6', 'A simplicidade de atingir seus objetivos em estado puro', '1987-10-17', '91', '7');
insert into `livros` values ('978-0-7970-0429-0', 'A arte de conseguir de maneira eficaz', '1986-06-13', '47', '10');
insert into `livros` values ('978-0-14-500536-8', 'A simplicidade de atingir seus objetivos em estado puro', '2000-08-28', '44', '9');
insert into `livros` values ('978-1-61540-258-8', 'A liberdade de conseguir antes de tudo', '1985-09-09', '20', '13');
insert into `livros` values ('978-1-393-47861-4', 'O poder de realizar seus sonhos direto da fonte', '1985-08-25', '81', '16');
insert into `livros` values ('978-0-252-03600-2', 'A arte de concretizar seus projetos naturalmente', '1975-04-18', '27', '9');
insert into `livros` values ('978-1-4004-6520-0', 'O conforto de ganhar em estado puro', '2007-06-18', '81', '14');
insert into `livros` values ('978-1-915014-85-6', 'A vantagem de evoluir mais facilmente', '2004-03-17', '44', '8');
insert into `livros` values ('978-1-61497-357-7', 'O prazer de atingir seus objetivos naturalmente', '2017-05-29', '84', '7');
insert into `livros` values ('978-0-539-38749-0', 'A possibilidade de realizar seus sonhos mais rapidamente', '2020-07-24', '83', '16');
insert into `livros` values ('978-0-293-29335-8', 'A certeza de evoluir em estado puro', '2000-06-08', '3', '1');
insert into `livros` values ('978-1-925193-72-5', 'A arte de conseguir com força total', '2021-04-05', '64', '8');
insert into `livros` values ('978-0-85081-719-5', 'A certeza de ganhar naturalmente', '1999-03-30', '90', '17');
insert into `livros` values ('978-1-83077-711-9', 'O poder de mudar com toda a tranquilidade', '1979-11-24', '97', '14');
insert into `livros` values ('978-0-939986-18-7', 'A simplicidade de conseguir sem preocupação', '2003-08-09', '18', '1');
insert into `livros` values ('978-0-03-764591-7', 'A possibilidade de concretizar seus projetos simplesmente', '2020-04-26', '62', '2');
insert into `livros` values ('978-0-9936511-8-2', 'A simplicidade de atingir seus objetivos simplesmente', '2016-05-02', '83', '5');
insert into `livros` values ('978-0-02-472417-5', 'A arte de evoluir direto da fonte', '1984-09-23', '27', '12');
insert into `livros` values ('978-0-243-12860-0', 'A arte de realizar seus sonhos naturalmente', '1976-06-26', '84', '17');
insert into `livros` values ('978-0-7519-6862-0', 'A vantagem de ganhar mais rapidamente', '1988-12-10', '17', '5');
insert into `livros` values ('978-0-238-64484-9', 'O conforto de realizar seus sonhos mais rapidamente', '1973-11-04', '88', '10');
insert into `livros` values ('978-1-276-25302-4', 'A arte de concretizar seus projetos mais facilmente', '1994-06-19', '64', '14');
insert into `livros` values ('978-1-66733-312-0', 'A vantagem de concretizar seus projetos simplesmente', '2017-12-06', '45', '5');
insert into `livros` values ('978-1-00-465118-4', 'O prazer de avançar simplesmente', '2015-09-07', '87', '11');
insert into `livros` values ('978-1-5393-4331-8', 'A certeza de ganhar mais facilmente', '1979-06-11', '8', '6');
insert into `livros` values ('978-1-4886-7213-2', 'A arte de realizar seus sonhos de maneira eficaz', '1981-09-20', '77', '14');
insert into `livros` values ('978-0-699-51509-2', 'A segurança de mudar direto da fonte', '1979-10-31', '97', '15');
insert into `livros` values ('978-0-916262-07-5', 'A arte de avançar antes de tudo', '1996-09-18', '86', '9');
insert into `livros` values ('978-0-09-103859-5', 'O prazer de avançar com força total', '2013-02-22', '45', '13');
insert into `livros` values ('978-1-133-75222-6', 'O prazer de avançar com confiança', '1982-08-04', '83', '8');
insert into `livros` values ('978-0-590-04324-3', 'A certeza de ganhar com força total', '2010-06-15', '16', '13');
insert into `livros` values ('978-0-611-62441-3', 'O conforto de mudar mais rapidamente', '1980-09-04', '69', '18');
insert into `livros` values ('978-1-66252-039-6', 'A arte de atingir seus objetivos em estado puro', '2003-03-10', '58', '20');
insert into `livros` values ('978-0-398-63557-2', 'A liberdade de inovar simplesmente', '1979-11-23', '31', '5');
insert into `livros` values ('978-1-131-65195-8', 'O conforto de concretizar seus projetos naturalmente', '1986-12-03', '72', '14');
insert into `livros` values ('978-1-971303-10-9', 'A vantagem de avançar com confiança', '1997-08-01', '19', '13');
insert into `livros` values ('978-1-5481-2169-3', 'A simplicidade de realizar seus sonhos antes de tudo', '2021-06-30', '4', '10');
insert into `livros` values ('978-0-01-204970-9', 'O direito de evoluir em estado puro', '2011-02-17', '78', '5');
insert into `livros` values ('978-1-353-22255-4', 'O direito de conseguir em estado puro', '1976-09-21', '1', '2');
insert into `livros` values ('978-0-8102-9443-1', 'O prazer de atingir seus objetivos sem preocupação', '1991-10-13', '73', '1');
insert into `livros` values ('978-1-7396273-1-7', 'O conforto de conseguir com força total', '1986-03-11', '79', '5');
insert into `livros` values ('978-1-81918-248-4', 'A certeza de conseguir sem preocupação', '1995-09-21', '33', '6');
insert into `livros` values ('978-0-246-27080-1', 'O prazer de avançar simplesmente', '1991-10-19', '73', '16');
insert into `livros` values ('978-1-261-88186-7', 'A vantagem de concretizar seus projetos naturalmente', '1985-09-26', '70', '2');
insert into `livros` values ('978-1-5210-1993-1', 'A liberdade de evoluir com confiança', '2008-02-11', '62', '15');
insert into `livros` values ('978-1-76374-607-7', 'A simplicidade de inovar direto da fonte', '1977-10-25', '35', '6');
insert into `livros` values ('978-1-884525-66-7', 'O direito de mudar mais rapidamente', '1975-05-03', '15', '8');
insert into `livros` values ('978-0-9621651-5-3', 'O conforto de avançar simplesmente', '1970-01-01', '34', '7');
insert into `livros` values ('978-1-00-212063-7', 'O poder de realizar seus sonhos antes de tudo', '1981-08-24', '1', '11');
insert into `livros` values ('978-0-693-63667-0', 'A vantagem de atingir seus objetivos de maneira eficaz', '2019-10-26', '8', '13');
insert into `livros` values ('978-1-214-49333-8', 'O prazer de inovar mais rapidamente', '1993-09-02', '1', '11');
insert into `livros` values ('978-0-87096-671-2', 'O conforto de atingir seus objetivos com confiança', '1991-05-11', '82', '15');
insert into `livros` values ('978-1-76574-788-1', 'A segurança de conseguir naturalmente', '2003-01-28', '73', '16');
insert into `livros` values ('978-0-8304-6163-9', 'O conforto de ganhar com força total', '1991-04-07', '28', '10');
insert into `livros` values ('978-1-394-07030-5', 'A segurança de mudar de maneira eficaz', '2020-07-07', '33', '15');
insert into `livros` values ('978-0-382-23467-5', 'A possibilidade de conseguir de maneira eficaz', '2011-01-23', '38', '13');
insert into `livros` values ('978-1-4371-9563-7', 'A certeza de realizar seus sonhos mais facilmente', '2014-07-12', '96', '8');
insert into `livros` values ('978-0-392-50687-8', 'A simplicidade de ganhar mais facilmente', '1992-03-02', '41', '11');
insert into `livros` values ('978-0-206-20522-5', 'A segurança de realizar seus sonhos mais facilmente', '1983-02-06', '89', '20');
insert into `livros` values ('978-1-186-70499-9', 'O conforto de conseguir antes de tudo', '1988-02-16', '22', '1');
insert into `livros` values ('978-0-9766985-7-9', 'O poder de evoluir com confiança', '1994-03-17', '61', '9');
insert into `livros` values ('978-0-7103-2164-0', 'O poder de evoluir sem preocupação', '2002-10-31', '59', '2');
insert into `livros` values ('978-0-641-62851-1', 'O poder de realizar seus sonhos antes de tudo', '2017-08-05', '68', '5');
insert into `livros` values ('978-0-914497-64-6', 'O prazer de atingir seus objetivos com toda a tranquilidade', '1990-02-12', '91', '18');
insert into `livros` values ('978-0-8264-9893-9', 'A certeza de ganhar mais rapidamente', '1982-08-03', '23', '2');
insert into `livros` values ('978-0-02-640179-1', 'A arte de realizar seus sonhos com força total', '2015-08-06', '4', '16');
insert into `livros` values ('978-1-67892-422-5', 'A arte de mudar simplesmente', '2019-05-30', '44', '11');
insert into `livros` values ('978-1-5412-7529-4', 'A segurança de conseguir mais rapidamente', '2001-03-24', '37', '2');
insert into `livros` values ('978-0-671-47326-6', 'O prazer de atingir seus objetivos em estado puro', '2015-11-12', '16', '11');
insert into `livros` values ('978-0-680-04593-5', 'A segurança de conseguir em estado puro', '2014-06-04', '10', '2');
insert into `livros` values ('978-1-5385-7240-5', 'O prazer de evoluir sem preocupação', '1989-08-30', '46', '20');
insert into `livros` values ('978-1-205-95075-8', 'A possibilidade de realizar seus sonhos com força total', '2011-05-29', '14', '8');
insert into `livros` values ('978-0-922508-16-7', 'O direito de avançar naturalmente', '1997-03-01', '89', '14');
insert into `livros` values ('978-0-209-72829-5', 'A arte de concretizar seus projetos mais rapidamente', '1974-02-05', '29', '2');
insert into `livros` values ('978-1-83912-952-0', 'O poder de concretizar seus projetos em estado puro', '1986-06-04', '71', '14');
insert into `livros` values ('978-0-16-844942-2', 'O poder de inovar mais facilmente', '1982-08-25', '27', '9');
insert into `livros` values ('978-1-09-410046-3', 'A certeza de mudar de maneira eficaz', '1976-02-22', '84', '13');
insert into `livros` values ('978-0-03-871868-9', 'O prazer de mudar em estado puro', '2003-07-24', '9', '14');
insert into `livros` values ('978-0-388-55174-5', 'A possibilidade de concretizar seus projetos naturalmente', '1985-07-08', '55', '13');
insert into `livros` values ('978-0-8231-3947-7', 'A certeza de conseguir mais rapidamente', '1977-03-17', '33', '3');
insert into `livros` values ('978-1-399-34897-3', 'A liberdade de evoluir direto da fonte', '2021-07-28', '15', '5');
insert into `livros` values ('978-0-274-76273-6', 'A simplicidade de realizar seus sonhos com confiança', '1994-05-07', '98', '13');
insert into `livros` values ('978-1-395-05390-1', 'O poder de conseguir simplesmente', '1977-07-19', '31', '7');
insert into `livros` values ('978-1-78381-820-4', 'O direito de evoluir direto da fonte', '1971-09-27', '64', '14');
insert into `livros` values ('978-0-495-69753-4', 'O direito de atingir seus objetivos mais facilmente', '1974-12-31', '15', '3');
insert into `livros` values ('978-0-7588-4411-8', 'O prazer de conseguir mais facilmente', '1985-12-18', '46', '17');
insert into `livros` values ('978-0-937270-44-8', 'A simplicidade de realizar seus sonhos antes de tudo', '2000-06-13', '49', '17');
insert into `livros` values ('978-1-85228-639-2', 'A arte de conseguir direto da fonte', '2008-08-22', '50', '7');
insert into `livros` values ('978-1-55462-718-9', 'O conforto de avançar com toda a tranquilidade', '2022-01-27', '61', '12');
insert into `livros` values ('978-1-9786-3051-2', 'A liberdade de realizar seus sonhos com confiança', '2021-02-20', '40', '10');
insert into `livros` values ('978-0-270-45292-1', 'A liberdade de evoluir simplesmente', '1989-12-09', '66', '15');
insert into `livros` values ('978-0-9889750-4-0', 'A vantagem de evoluir com força total', '2003-11-03', '76', '3');
insert into `livros` values ('978-1-83034-054-2', 'A simplicidade de avançar em estado puro', '1991-06-20', '64', '2');
insert into `livros` values ('978-1-9996817-3-9', 'A vantagem de atingir seus objetivos em estado puro', '1994-08-24', '89', '12');
insert into `livros` values ('978-0-7194-5613-8', 'A liberdade de mudar de maneira eficaz', '1974-03-28', '40', '15');
insert into `livros` values ('978-1-106-97411-2', 'A segurança de concretizar seus projetos naturalmente', '1978-04-27', '20', '20');
insert into `livros` values ('978-0-01-874686-2', 'A certeza de ganhar sem preocupação', '1986-04-25', '9', '9');
insert into `livros` values ('978-0-414-88440-3', 'A segurança de concretizar seus projetos com força total', '1987-11-19', '100', '3');
insert into `livros` values ('978-1-5318-3020-5', 'O conforto de atingir seus objetivos antes de tudo', '1970-08-19', '18', '11');
insert into `livros` values ('978-1-66830-191-3', 'O poder de ganhar antes de tudo', '2004-01-14', '62', '16');
insert into `livros` values ('978-1-280-77960-2', 'A simplicidade de realizar seus sonhos mais facilmente', '1970-01-23', '30', '9');
insert into `livros` values ('978-0-568-92531-1', 'A possibilidade de conseguir direto da fonte', '1998-08-28', '88', '20');
insert into `livros` values ('978-0-380-34186-3', 'A arte de evoluir mais rapidamente', '1982-06-19', '65', '15');
insert into `livros` values ('978-1-5003-2500-8', 'A liberdade de inovar em estado puro', '2016-12-24', '77', '12');
insert into `livros` values ('978-0-269-27772-6', 'A segurança de inovar de maneira eficaz', '1982-08-19', '76', '10');
insert into `livros` values ('978-0-03-891320-6', 'O direito de evoluir com toda a tranquilidade', '1996-09-06', '84', '16');
insert into `livros` values ('978-1-263-34506-0', 'A arte de avançar direto da fonte', '1993-05-08', '1', '12');
insert into `livros` values ('978-1-323-17726-6', 'A certeza de ganhar sem preocupação', '1979-07-02', '57', '18');
insert into `livros` values ('978-1-175-77279-4', 'A simplicidade de ganhar sem preocupação', '1972-03-13', '35', '16');
insert into `livros` values ('978-0-560-74027-1', 'A possibilidade de ganhar com força total', '1990-04-21', '60', '9');
insert into `livros` values ('978-0-216-77201-4', 'A arte de ganhar com confiança', '1970-04-18', '41', '19');
insert into `livros` values ('978-1-80981-196-7', 'A segurança de avançar simplesmente', '1987-10-09', '15', '14');
insert into `livros` values ('978-0-475-31025-5', 'A certeza de ganhar de maneira eficaz', '2020-04-09', '7', '6');
insert into `livros` values ('978-0-582-12111-9', 'A certeza de mudar com toda a tranquilidade', '2018-09-27', '12', '9');
insert into `livros` values ('978-0-15-448297-6', 'A segurança de inovar em estado puro', '2002-10-09', '98', '17');
insert into `livros` values ('978-0-13-718715-7', 'A simplicidade de atingir seus objetivos naturalmente', '2012-06-01', '7', '19');
insert into `livros` values ('978-0-482-17769-8', 'O prazer de avançar de maneira eficaz', '2005-01-02', '99', '2');
insert into `livros` values ('978-1-4694-5848-9', 'A vantagem de conseguir naturalmente', '2005-04-26', '65', '1');
insert into `livros` values ('978-0-257-52571-6', 'A simplicidade de realizar seus sonhos com toda a tranquilidade', '2006-01-09', '26', '2');
insert into `livros` values ('978-0-87354-488-7', 'A liberdade de evoluir simplesmente', '2019-07-04', '17', '19');
insert into `livros` values ('978-0-407-17200-5', 'A certeza de avançar naturalmente', '2013-06-27', '26', '7');
insert into `livros` values ('978-1-08-954926-0', 'A vantagem de conseguir mais rapidamente', '2022-01-06', '4', '18');
insert into `livros` values ('978-1-891904-30-1', 'A liberdade de avançar simplesmente', '2008-12-31', '3', '12');
insert into `livros` values ('978-1-900612-61-6', 'A possibilidade de mudar em estado puro', '1991-08-15', '21', '7');
insert into `livros` values ('978-0-377-57988-0', 'A possibilidade de conseguir mais rapidamente', '2011-01-04', '97', '3');
insert into `livros` values ('978-0-9689860-8-0', 'A possibilidade de ganhar de maneira eficaz', '2013-01-16', '4', '10');
insert into `livros` values ('978-0-294-97595-6', 'A arte de inovar de maneira eficaz', '2008-03-26', '23', '5');
insert into `livros` values ('978-1-56511-254-4', 'A segurança de atingir seus objetivos direto da fonte', '2011-09-29', '52', '19');
insert into `livros` values ('978-0-08-443107-5', 'A arte de avançar direto da fonte', '1978-01-27', '52', '12');
insert into `livros` values ('978-1-07-692978-5', 'A liberdade de avançar sem preocupação', '2018-11-03', '73', '9');
insert into `livros` values ('978-1-4135-2951-7', 'O conforto de avançar mais facilmente', '1982-02-01', '51', '12');
insert into `livros` values ('978-0-9880766-1-7', 'O direito de ganhar direto da fonte', '2015-02-05', '12', '2');
insert into `livros` values ('978-1-153-78813-7', 'O conforto de atingir seus objetivos mais facilmente', '1972-07-08', '42', '5');
insert into `livros` values ('978-1-4105-9942-1', 'A simplicidade de mudar de maneira eficaz', '2012-12-11', '26', '6');
insert into `livros` values ('978-0-04-041481-4', 'O poder de avançar mais facilmente', '1972-08-29', '82', '4');
insert into `livros` values ('978-1-904597-49-0', 'A segurança de avançar simplesmente', '1993-09-21', '80', '13');
insert into `livros` values ('978-1-941832-30-1', 'A certeza de evoluir direto da fonte', '2005-01-26', '72', '11');
insert into `livros` values ('978-0-9558340-0-4', 'A segurança de ganhar com confiança', '1977-03-03', '57', '18');
insert into `livros` values ('978-0-456-51368-2', 'A certeza de mudar antes de tudo', '1981-04-23', '94', '9');
insert into `livros` values ('978-0-668-81270-2', 'A vantagem de mudar simplesmente', '1995-09-17', '99', '4');
insert into `livros` values ('978-1-01-419147-2', 'O conforto de ganhar com confiança', '1983-07-05', '33', '7');
insert into `livros` values ('978-0-07-041661-1', 'A simplicidade de ganhar sem preocupação', '2007-01-26', '73', '7');
insert into `livros` values ('978-0-13-052576-5', 'A certeza de evoluir em estado puro', '1988-10-21', '46', '8');
insert into `livros` values ('978-0-414-29411-0', 'O direito de concretizar seus projetos com força total', '2007-01-02', '10', '14');
insert into `livros` values ('978-0-463-60040-5', 'O conforto de mudar com força total', '2009-03-05', '85', '10');
